AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,Label
-0.15507162344640799,-0.11593147509408357,-0.11235871760843412,-0.16097123990575027,-0.3268126903531857,-0.18728262862366155,-0.26408396062049255,-0.4035827723815832,-0.6600021790518076,-0.45536349923108077,-0.19772906953303315,-0.1377253138318198,-0.09470995151179412,-0.13544700184307948,-0.1516632248459647,-0.10141603898854024,-0.10264956405013471,-0.09047753999730802,-0.10559414705259404,-0.10454311462424616,-0.13366758199847362,-0.10835811081630267,-0.10008552828742101,-0.13635463720674018,-0.20419613718237914,2
-0.14157040411384117,-0.11614083745796182,-0.11773314821453372,-0.1082289332812336,0.2909570800606193,-0.18902499428966257,-0.29807872256617235,-0.52750580408826,-0.530207090664353,-0.507045502532092,-0.060709185081060435,-0.13483121315751534,-0.11750056173975523,-0.1639896241315153,-0.2525838992029868,-0.10051295589095653,-0.09976663848448844,-0.105880711196501,-0.11905132909435157,-0.1668867277376789,-0.11767799434893315,-0.10030001786961198,-0.10660220808201229,-0.11076487875812122,0.035515557856185584,4
-0.11538285552450225,-0.08888888848742078,-0.004143467277714232,-0.08185132316735523,-0.09426738869224704,-0.18271047810619237,-0.046669940934578616,-0.11167879150329353,-0.1349880201583118,-0.34831435704999647,0.0066270597018901955,-0.12554111928695144,-0.10563631162049299,-0.1267546995281967,-0.10163598385334431,-0.09953931827116382,-0.09099141250018088,-0.044748624912237016,-0.07014355531714736,0.006355719896611332,-0.10039761750557818,-0.07121897921015458,-0.0012856094304246966,-0.03840033584529194,0.09386642534846294,3
0.4310385834861122,-0.10711573969237281,-0.136660017906174,-0.1492049438330869,-0.3887952452053215,5.838836593963939,0.37562196366127126,0.21417741988322606,0.1224256347548405,0.3431562400485228,-0.15257297510682194,0.07718423722495053,-0.11856342754697302,-0.14185685456714195,-0.18587809712335923,0.3106279271633737,-0.09662247856293746,-0.12078376520922543,-0.13103220669147975,-0.26369811084045913,0.5996726918569398,-0.09731505545241188,-0.12671262082922335,-0.124908791059028,-0.2795800032606318,1
-0.14692579775429437,-0.12019071262505296,-0.13286980316798785,-0.18473665939976233,-0.44047957328427256,-0.18395895853811955,-0.2199501491193077,-0.466083145356287,-0.3661166867738722,-0.7820277831473349,-0.1959214651115749,-0.13551030996439895,-0.11232252354549904,-0.15350865233835623,-0.24185799719941262,-0.10130992863452179,-0.10486717730651894,-0.11853295599415681,-0.13403469459386236,-0.2504169339593136,-0.12454001874554199,-0.11068088662834218,-0.12743147258485799,-0.16084708475021536,-0.322533507328294,4
-0.09834196286877987,-0.08040347833308059,-0.11477841992014984,-0.17078774581360381,-0.4240094723766349,-0.1821998142379908,-0.21731680497176406,-0.14131452255765406,-0.5953670144883584,-0.621439886650704,-0.19397341273663118,-0.1332112314147042,-0.11071380716736448,-0.15756589168249754,-0.22354679520661852,-0.09958166189847575,-0.10552550366856339,-0.11668680691882168,-0.14783826874213668,-0.26479001091222737,-0.07514560331611334,-0.07599988556945883,-0.10886264576706899,-0.14794691250160294,-0.29812580952628975,1
-0.1554350772679441,-0.12167663031475917,-0.12729457836299846,-0.17556191768113877,-0.439222297628997,-0.18586045522559766,-0.2536789089634512,-0.4367764415887287,-0.6471290114481443,-0.7445390165388752,-0.19761120278672004,-0.13961253798997608,-0.1137824297293485,-0.15134567514926645,-0.226696855688348,-0.10090833969801583,-0.10623770398798893,-0.11908191189966143,-0.14427675102814191,-0.27587805836009127,-0.13491832256001302,-0.11192209139526554,-0.12131173553506495,-0.151574712969355,-0.31368230552995957,3
-0.1375110695498072,-0.058553833186502126,-0.06558303727122733,-0.08574835356121514,-0.023481550276696496,-0.18276268284831165,-0.04817503755174418,-0.3206992824187911,-0.03739027898779042,-0.45600633304671745,0.38280918009789544,-0.12641540791554434,-0.11312582371320418,-0.11268259802612549,0.05077603971067092,-0.08010643889292572,-0.07093327059026606,-0.06653535197349053,-0.03526174050826214,0.016007579163953296,-0.12640110610951208,-0.06433542836206187,-0.06627398430304605,-0.0355710782918608,0.09694435435208024,1
-0.14363314523976428,-0.10621152422739281,-0.049276823545581785,-0.03976742016940303,0.17797192553398777,-0.18994908097453772,-0.26199319943395016,-0.26984605221066793,-0.6284514292944191,-0.5044870990335198,-0.06868002138550748,-0.13821198999367235,-0.11665776437586224,-0.1631902053576483,-0.25360635170934,-0.09506012665665048,-0.09588312978409012,-0.08915817258525822,-0.10468646614645111,-0.1479784964538699,-0.12944899235574628,-0.1032931101804953,-0.08333195329198788,-0.0951516923004062,-0.09368418307819856,3
-0.12669895559095787,-0.06766819015446345,-0.0590578569848911,0.027941279050863632,0.037787329347245796,-0.18755817335541983,-0.14923805155700728,0.08241204219165153,0.12927368966729152,-0.31769486003406716,0.3259340190070711,-0.13403912044734662,-0.09798561286495826,-0.13484503105396098,-0.1826250878686277,-0.09814774537953419,-0.06627527290607076,-0.09122505526355984,0.013602540777487378,0.07771471081381534,-0.12773635356200036,-0.05474591435291168,-0.07596385499902601,0.03868669190864572,0.13057478564447494,2
