AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,Label
-0.14758761591139982,-0.10060777894478712,-0.04811534384644477,0.042710233763507216,0.042067531163453686,-0.18943403829206382,-0.20926591024215235,-0.10900354927641004,-0.6291792522199562,-0.6500641376314679,-0.06998896668072453,-0.13731053561404025,-0.11728045927645095,-0.1602224354499011,-0.2525346526373138,-0.09604508929780348,-0.09176046167339826,-0.07799298667013779,-0.09780613248626169,-0.10536819700930414,-0.13117971550954688,-0.09824352682416135,-0.0780420178791145,-0.10614759037764708,-0.04180238843588157,3
-0.12735092050243607,-0.10904805942631902,-0.09531434502218852,-0.14222784603511374,-0.28919177443673205,-0.1801264593211973,0.3841533486423036,-0.03289456540094091,1.3750174396532902,3.469403923583809,0.1822586592207255,-0.13276245637795073,-0.11495198899624277,-0.15828260153124638,-0.2236950039185486,-0.09025391151789527,-0.09869771570559073,-0.09763669487262387,-0.11878488006366349,-0.17688645756103671,-0.11088045532246142,-0.10003416973120127,-0.07948936858475031,-0.12554251910368616,-0.20400422519781874,3
6.5220135742650545,5.592069696447002,5.003517154075885,5.783953142956616,5.6075258804297246,0.014291387022469083,2.1603016611287664,2.2268609611502534,2.70333809775994,0.6181326805122933,7.723734201456996,6.204079459958699,5.3772471214661355,5.781340735812025,5.40527359490795,9.25960976632574,8.305286131030977,5.7057065556780575,5.781174713408877,7.215055513654263,7.291723984308382,5.604605321530826,4.915952523301977,5.750506701328033,6.159221828026911,1
-0.12192457519849133,-0.11526684695228515,-0.12206506612981212,-0.16788837778571736,-0.4281140507328714,-0.18298559996180597,-0.09827726162394243,-0.2739692966236288,-0.573792034462194,-0.5809642997178068,-0.19361190727975006,-0.12949536823924843,-0.11316601491697365,-0.15321813901833053,-0.2228332671884234,-0.0975943244068303,-0.09815072939513098,-0.11434475396084741,-0.12913687391462425,-0.25488185739700764,-0.10567431761819795,-0.10421887261263248,-0.12147869631223505,-0.15052813661572328,-0.30594931978863416,1
-0.08933758353603366,-0.09145492649201288,-0.12483292599596575,-0.1579754478784943,-0.28199289398968497,-0.1893237972093784,-0.30607657019080914,-0.5046988880195798,-0.485845161158927,-0.5034337860001112,-0.1974014033031556,-0.1280712623056106,-0.11351342694752532,-0.11663168228273063,-0.11833111680054617,-0.09962143017702728,-0.09456607635966836,-0.11461276360208705,-0.10008941159359518,-0.06523314471991225,-0.05523277315615563,-0.08113694522889191,-0.11838749941689196,-0.1392934172731614,-0.1284009086228219,3
-0.13421947997710848,-0.11275906084375438,-0.09293889158098458,-0.1600266162035781,-0.3615264453094636,-0.18047975869891325,-0.16491009813980054,-0.33185235527239204,-0.5940075566891173,-0.48549617790642097,-0.19822469238529034,-0.1405406590739998,-0.11449718269443712,-0.16093514153183597,-0.21469601481790682,-0.10123707865449763,-0.10183499896183307,-0.11594533962273806,-0.1340457803683755,-0.228899263016637,-0.1142242463684964,-0.08863886612201437,-0.1049709175371213,-0.14370386627537354,-0.25732393038979623,4
-0.06818192336652416,-0.1123582498564554,-0.13051639443434515,-0.17568149145444076,-0.4477500818729643,-0.17627245480614304,-0.19591628431300318,-0.424767827258405,-0.675059349810148,-0.8084949324664132,-0.197349499376404,-0.13843774989032992,-0.10747592840342192,-0.15441880640503958,-0.2559074952018496,-0.10109302811467387,-0.10479556730006051,-0.11889606662828667,-0.14157283998597975,-0.24478256539348994,-0.09210544434666464,-0.10516509507221601,-0.1276453901873484,-0.1442642252445866,-0.32529622042082595,2
-0.13136833107644638,-0.10586878172879807,-0.11158157190516696,-0.14886341636573194,-0.24464461899266016,-0.18104929101880435,0.1850290815228322,0.7082543859665735,0.733516878099581,2.9782838942815126,0.10699274405037869,-0.14056898731017098,-0.11691647271189175,-0.1623566566960066,-0.2298301879715791,-0.09811822040545078,-0.0918085639269947,-0.11480732724746553,-0.13269929801269872,-0.23196247932870698,-0.06222275219212212,-0.08864511728459303,-0.09613760336377083,-0.13211655435307973,-0.21295233587812826,2
-0.13557920180374766,-0.05972723333691693,-0.07250138803958665,-0.06419188877433031,0.06889235427993944,-0.18364553228849734,-0.09331567084012742,-0.17063180598073643,0.08150616874890804,-0.3532025638323654,0.2779535141615458,-0.12551845082687746,-0.1151566327808668,-0.08077191812113585,0.27368420935894366,-0.08019302553327244,-0.07683188709851776,-0.06804308670498196,0.010592216138908041,0.04317730700581028,-0.1272151455053158,-0.07867508489303496,-0.07645161714619779,0.00787871005677014,0.19088384145984874,1
-0.15336640049471525,-0.10938111285812659,-0.11505068335328812,-0.09370041929690065,0.7470686082179331,-0.18703128332031185,-0.1938347220463986,-0.36148561774046356,-0.5284500555842018,-0.1471324019763148,-0.19738830197375723,0.09516626765429446,-0.11539761670758203,-0.022781573121026043,-0.010266407316564384,-0.09630789985411481,-0.08610413327601905,-0.11354347950923292,-0.122687811743922,0.16424133563294496,-0.13287282895280478,-0.09352640200217599,-0.12120231491273882,-0.10093438828516062,0.30310318331941805,3
-0.0032685326147765628,-0.05117091617887499,-0.06833580202720038,0.011211970153834438,1.4605547616572772,-0.18500078212637378,-0.20444828255536476,-0.4145584596775618,-0.6713496972777847,-0.4709746412703871,-0.19741364149553445,0.049180313856606594,-0.11619482049496258,-0.03252474856021577,-0.08150742724891369,-0.09683527600618666,-0.09967997793067854,-0.11062569737470687,-0.07926804018116854,-0.05179926602421869,-0.03816708991073279,-0.08155732899390306,-0.10339241501059002,-0.01264500933039472,0.01602419914624129,1
-0.14239162444076522,-0.06866153586351781,-0.0324186682780604,0.06329296915290585,-0.042386923929661265,-0.18438656816738894,0.05074355490067238,0.062294474557220474,0.39873596682867135,-0.18954775350539022,0.4126467097062718,-0.11660162036415181,-0.09532954379025334,-0.12824143160513804,-0.11672458439148109,-0.09643867053676254,-0.060748216912041915,-0.05253633845331718,0.04020961276924647,0.12823206844043272,-0.11990429801277924,-0.059237708286510475,-0.037746937572349704,0.10606650236902955,0.12961760794591037,1
-0.15337038326784255,-0.11672180318751967,-0.0926206784198494,-0.14103584213659923,-0.2597510108796208,-0.1898484296315204,-0.28370173059529696,-0.3619225575136126,-0.5821603949716737,-0.5356405527554939,-0.1970392195721913,-0.1366644052415818,-0.07492463225199844,-0.12488785872719141,-0.08931590016669924,-0.10066395617576054,-0.0993014537303677,-0.0589840334593529,-0.07116036486648505,-0.03171979838864898,-0.13203223675753284,-0.10604710859084147,-0.08535953628931613,-0.1169406274997746,-0.0830499340826973,2
-0.15231264831097382,-0.11926702732281999,-0.10689049401359366,-0.1414993111747473,-0.2655563372469724,-0.1883076053719583,-0.2336960951824462,-0.4481245327591588,-0.4842954647682826,-0.6259409748211906,-0.19821269890356114,-0.13878976271768703,-0.09605530562070493,-0.11926137412070151,-0.07301419256081816,-0.1000780273660378,-0.10266693582618217,-0.0998139245716396,-0.07656351558670631,-0.025197281439090394,-0.13321273497551633,-0.10983137116052533,-0.09603382099059667,-0.1068149998299326,-0.14256018246680505,4
-0.15266433985757355,-0.10919168458137396,-0.10619352779521173,-0.1605482602047005,-0.35251155607407775,-0.19027663947209192,-0.22523462199294148,-0.37857105610166186,-0.5650346467208558,-0.49317138840213737,-0.1949328699957816,-0.13038499227776446,-0.08550797571149572,-0.12984469998814627,-0.15292471861871149,-0.09968686480732264,-0.09929628510082142,-0.09518947745545332,-0.12317018935113327,-0.10263329706194424,-0.13130520327391446,-0.09643668255183517,-0.10419574045852593,-0.1289555040341452,-0.19411265843055164,2
-0.13285708005845276,-0.10277219495767304,-0.11309824512779175,-0.1525778167177185,-0.1285846667518162,-0.18447086375242325,0.11595745801611612,0.6345900078275605,0.6381603185367708,2.1870818647967813,0.10739734917042223,-0.14073162661261582,-0.11754256280643356,-0.16282997311150108,-0.2334377724991561,-0.09943818082230475,-0.09452996475997233,-0.1169136626698407,-0.13613392195553686,-0.21081723363265537,0.004215646368794033,-0.080628218054118,-0.09581263583501677,-0.13367136460758378,-0.2330908019799045,2
-0.11333370393806844,-0.10357904690768852,-0.11322901183491071,-0.1357349446102494,-0.33385662870510263,-0.1697357990556381,0.31376919257578784,0.1430080771720011,1.2216129939434015,2.4378767409355513,0.1311689286886738,-0.13831667236692258,-0.11638914261780935,-0.16073806723199005,-0.23104345137762708,-0.08884095337375991,-0.09150767845178691,-0.11010059213160721,-0.0926048823058841,-0.19329876798359666,-0.08105522388440159,-0.08655032287847224,-0.10375020443839997,-0.09492822465840157,-0.22909867060296432,3
-0.10790253925349037,-0.10807050967589554,-0.12497604385177562,-0.17278636724821142,-0.4348713083770324,-0.18448013292469134,-0.21521975785659744,-0.17582112701535157,-0.594110691655805,-0.6748952102309311,-0.19322780598625555,-0.1365085705869551,-0.11204900971439548,-0.15433262754868257,-0.21724214043235154,-0.0994140169040312,-0.10283534127163756,-0.11559234190683712,-0.14131824367017992,-0.25730889078277874,-0.08884051223586471,-0.096409780721338,-0.12039883225126505,-0.15485078993039303,-0.30528715673962215,1
-0.1498749790427198,-0.11209256997098534,-0.09861435403002963,-0.06195158807118594,0.017234676577633175,-0.18320672326197684,-0.27171553791627034,-0.2837410191209547,-0.3058917443869706,-0.25924161825452613,0.07909696551771857,-0.08608617722380882,-0.062053227443931186,-0.08349467529438384,0.0616377215310291,-0.09387002155583081,-0.08829543994842834,-0.0824765749291931,0.010811881806713641,0.24867357222145534,-0.13197197232930508,-0.09695498787291137,-0.06957378212487313,0.005943670700564677,0.20062361289871225,1
-0.1514361858187279,-0.11922210684902841,-0.1297039692262105,-0.18423760054393992,-0.4463696428051191,-0.1839052941912428,-0.1498045517098469,-0.36645593990572795,-0.5613933945809072,-0.7194359597422706,-0.19689757200454308,-0.134427610649073,-0.10055847587382657,-0.15664708947949588,-0.2512409531739999,-0.10179195805266154,-0.10415269825691756,-0.1205655585995181,-0.14722686387508885,-0.2879533685659422,-0.13192292135039482,-0.10750139713323906,-0.12428180654558382,-0.15979378756524515,-0.3286678300284229,3
-0.11821026539093096,-0.076241716080934,-0.030082799637233183,-0.03859386687749247,-0.22765782024635156,-0.18272149334770305,-0.018702004701517602,-0.12202534195076704,-0.4057092920425736,-0.22960660391536675,0.04815707428056587,-0.13778821132282537,-0.1157149210562851,-0.13840626597066172,-0.23156155651616755,-0.09323901534119877,-0.06883381131486442,-0.027508384010749683,-0.02855916968265572,-0.01015958588473466,-0.11235762146418034,-0.05608471781703597,-0.04043219482088899,-0.015335466266499165,0.06296183031740611,2
-0.14249667911759492,-0.12040896738001093,-0.13426273236459443,-0.18405444230108772,-0.4559670571501944,-0.17756977743278102,-0.21695191448089576,-0.43105531653643103,-0.7767862302946381,-0.8004839132610359,-0.19745892892510233,-0.13599450557085618,-0.10079393495587263,-0.160686356359272,-0.2547015015269247,-0.10190449093569733,-0.1065245386429384,-0.12333903013269616,-0.15065570090418745,-0.29587736873817094,-0.12678114462427179,-0.11113232941608188,-0.12874172593944053,-0.16106348393167433,-0.3331687092134902,3
-0.1412728692757991,-0.11352675245728745,-0.0693800022875576,-0.15174278561173182,-0.3464900001523718,-0.1726341171248767,0.2133346181176126,1.0571784782580367,1.2637038166694348,1.2458496812164244,-0.05510403046394644,-0.13996387563657472,-0.11248369660033078,-0.1587485688103222,-0.21453154692238943,-0.08741072736655875,-0.0969677851104008,-0.06455069300736123,-0.114264463770838,-0.18647002642744442,-0.11728559769895404,-0.1002629444474718,-0.028561972445234333,-0.11615730301963394,-0.1934851805664354,1
-0.14688578042358694,-0.11270783574206224,-0.10563138775239962,-0.10631646324764936,0.6801132780391808,-0.18647019488214847,-0.27214988025266945,-0.5405364131422203,-0.5254185288172618,-0.18834509945575978,-0.19709569985408046,0.0735250393285427,-0.11731091396209038,-0.05007299158830028,-0.03974704308059687,-0.09667581562149026,-0.09097017133506041,-0.1058311455341985,-0.109749862280493,-0.0635725311452818,-0.12725610401612833,-0.08840005203249279,-0.11318956250792579,-0.10015799707642949,0.14550761534280832,3
-0.06350799512460754,-0.060587998452702164,-0.10088581598155642,-0.15553914818456507,-0.4098905736255396,-0.14522986046857225,0.14487717583208068,-0.07398841604318317,-0.08611647415611053,-0.6370230793936784,-0.1905095334914127,-0.12941916675173218,-0.0911431539781506,-0.12195808011787956,-0.20721452346235944,-0.09940154855456435,-0.1017487816068762,-0.112274577784482,-0.11063389353434125,-0.2501766114554794,-0.065717655753838,-0.05812280283238532,-0.09582157556846309,-0.12811883778343877,-0.3135570958240448,2
-0.13456315502260557,-0.0401893519544806,-0.007190918880936258,-0.000879333445226571,-0.1423017921591093,-0.19113357069695833,-0.24470168299609732,0.2838469200963051,0.09357830363202792,-0.5806472629235927,0.417910027484967,-0.1337683201229611,-0.10995292311008746,-0.15015032832379027,-0.04443656683909395,-0.09458435341724929,-0.05813058127536639,-0.017882918330839402,0.00563499244152402,-0.016847417848576688,-0.09087000819370389,-0.014393998815653682,0.009845144777930543,0.041407585713110664,-0.017906773555936714,3
